Locality,percentage of graduates from BA,value of apartments,symbol statistical area,city symbol,
Rishon LeZiyyon,26.6,"17,621",612,8300,
Rishon LeZiyyon,22.8,"14,314",614,8300,
Rishon LeZiyyon,19.6,"16,377",615,8300,
Rishon LeZiyyon,20.2,"16,183",616,8300,
Rishon LeZiyyon,20.6,"15,567",617,8300,
Rishon LeZiyyon,17.9,"13,725",623,8300,
Rishon LeZiyyon,13.2,"13,105",624,8300,
Rishon LeZiyyon,18.2,"16,755",625,8300,
Ashdod,9.5,"11,812",122,70,
Ashdod,7.7,"10,995",123,70,
Ashdod,4.7,"10,289",125,70,
Ashdod,6.5,"11,296",126,70,
Ashdod,6.6,"9,999",131,70,
Ashdod,4.2,"11,105",132,70,
Ashdod,4.6,"9,819",133,70,
Ashdod,1.7,"10,379",141,70,
Ashdod,2.5,"10,175",142,70,
Ashdod,3.9,"9,611",143,70,
Ashdod,4.4,"10,850",144,70,
Ashdod,1.5,"10,434",211,70,
Ashdod,1.0,"10,480",212,70,
Ashdod,3.8,"11,440",221,70,
Ashdod,4.5,"9,679",222,70,
Ashdod,5.4,"10,092",223,70,
Ashdod,10.0,"9,456",231,70,
Ashdod,11.3,"10,905",232,70,
Ashdod,12.1,"10,652",233,70,
Ashdod,8.5,"9,086",234,70,
Ashdod,10.6,"9,270",241,70,
Ashdod,7.3,"10,307",242,70,
Ashdod,14.1,"9,922",243,70,
Ashdod,17.1,"10,495",244,70,
Ashdod,14.4,"14,098",311,70,
Ashdod,19.9,"10,403",312,70,
Ashdod,16.8,"10,331",314,70,
Ashdod,15.1,"10,290",315,70,
Ashdod,16.0,"10,654",316,70,
Ashdod,13.6,"11,095",317,70,
Ashdod,10.4,"10,289",321,70,
Ashdod,2.0,"9,703",322,70,
Ashdod,7.7,"10,294",323,70,
Ashdod,12.6,"9,650",331,70,
Ashdod,15.1,"8,961",332,70,
Ashdod,14.7,"10,059",333,70,
Ashdod,13.3,"11,668",342,70,
Ashdod,13.5,"11,437",343,70,
Ashdod,14.5,"11,849",411,70,
Ashdod,14.0,"10,620",412,70,
Ashdod,14.7,"13,146",413,70,
Ashdod,24.8,"10,076",415,70,
Ashdod,15.6,"11,574",421,70,
Ashdod,17.8,"11,268",422,70,
Ashdod,15.5,"11,271",423,70,
Ashdod,13.2,"11,271",424,70,
Ashdod,14.4,"11,482",425,70,
Ashdod,18.1,"11,899",426,70,
Ashdod,22.5,"11,534",432,70,
Ashdod,20.3,"12,211",433,70,
Ashdod,23.5,"11,399",434,70,
Petah Tiqwa,14.1,"13,650",112,7900,
Petah Tiqwa,23.7,"14,414",113,7900,
Petah Tiqwa,12.8,"13,371",114,7900,
Petah Tiqwa,30.6,"14,185",115,7900,
Petah Tiqwa,45.2,"14,340",121,7900,
Petah Tiqwa,38.2,"14,565",122,7900,
Petah Tiqwa,37.6,"15,022",123,7900,
Petah Tiqwa,15.9,"13,837",127,7900,
Petah Tiqwa,32.9,"14,186",131,7900,
Petah Tiqwa,12.2,"15,600",132,7900,
Petah Tiqwa,21.3,"13,649",133,7900,
Petah Tiqwa,16.9,"15,391",134,7900,
Petah Tiqwa,21.3,"12,333",141,7900,
Petah Tiqwa,14.9,"13,096",142,7900,
Petah Tiqwa,17.8,"14,361",143,7900,
Petah Tiqwa,13.2,"14,868",144,7900,
Petah Tiqwa,14.2,"12,471",145,7900,
Petah Tiqwa,10.9,"12,723",146,7900,
Petah Tiqwa,42.0,"17,132",211,7900,
Petah Tiqwa,45.1,"16,813",212,7900,
Petah Tiqwa,34.6,"13,167",213,7900,
Petah Tiqwa,35.2,"13,790",221,7900,
Petah Tiqwa,22.9,"13,337",222,7900,
Petah Tiqwa,33.7,"13,965",223,7900,
Petah Tiqwa,27.9,"13,561",224,7900,
Petah Tiqwa,26.4,"13,966",231,7900,
Petah Tiqwa,20.4,"14,468",232,7900,
Petah Tiqwa,22.4,"13,313",233,7900,
Petah Tiqwa,16.3,"13,331",234,7900,
Petah Tiqwa,20.0,"12,982",235,7900,
Petah Tiqwa,19.6,"12,388",236,7900,
Petah Tiqwa,10.2,"13,082",311,7900,
Petah Tiqwa,9.5,"12,979",312,7900,
Petah Tiqwa,11.1,"13,027",313,7900,
Petah Tiqwa,14.8,"13,740",321,7900,
Petah Tiqwa,13.5,"12,802",322,7900,
Petah Tiqwa,16.9,"12,939",323,7900,
Petah Tiqwa,21.7,"13,718",324,7900,
Petah Tiqwa,24.3,"12,249",411,7900,
Petah Tiqwa,10.9,"12,705",412,7900,
Petah Tiqwa,11.9,"14,021",413,7900,
Petah Tiqwa,9.7,"13,041",414,7900,
Petah Tiqwa,9.9,"11,723",415,7900,
Petah Tiqwa,9.9,"15,273",421,7900,
Petah Tiqwa,20.9,"13,477",422,7900,
Petah Tiqwa,14.3,"12,730",423,7900,
Petah Tiqwa,18.8,"13,772",424,7900,
Petah Tiqwa,14.1,"16,424",431,7900,
Petah Tiqwa,14.9,"13,082",432,7900,
Petah Tiqwa,15.3,"12,745",433,7900,
Petah Tiqwa,25.5,"12,692",434,7900,
Petah Tiqwa,30.4,"12,403",511,7900,
Petah Tiqwa,18.6,"13,363",512,7900,
Petah Tiqwa,5.7,"10,373",513,7900,
Petah Tiqwa,17.9,"12,767",514,7900,
Petah Tiqwa,7.6,"13,761",515,7900,
Petah Tiqwa,22.6,"12,206",516,7900,
Petah Tiqwa,32.2,"13,032",521,7900,
Petah Tiqwa,32.5,"12,823",522,7900,
Petah Tiqwa,11.3,"12,452",523,7900,
Petah Tiqwa,9.5,"12,433",524,7900,
Be'er Sheva,7.0,"6,476",111,9000,
Be'er Sheva,3.9,"4,519",112,9000,
Be'er Sheva,4.0,"5,212",113,9000,
Be'er Sheva,7.1,"7,397",121,9000,
Be'er Sheva,10.6,"7,914",122,9000,
Be'er Sheva,10.9,"8,559",123,9000,
Be'er Sheva,14.5,"7,348",131,9000,
Be'er Sheva,5.4,"7,664",132,9000,
Be'er Sheva,10.8,"7,931",133,9000,
Be'er Sheva,15.6,"5,898",211,9000,
Be'er Sheva,9.9,"5,670",212,9000,
Be'er Sheva,11.2,"7,278",213,9000,
Be'er Sheva,11.6,"7,691",214,9000,
Be'er Sheva,10.7,"5,434",215,9000,
Be'er Sheva,6.0,"5,753",216,9000,
Be'er Sheva,7.2,"5,781",221,9000,
